age,gender,region,household_size,mother_education,father_education,weekly_study_time,past_failures,school_support,family_support,paid_tutoring,internet_access,extracurricular_activities,absences,prior_grade_1,prior_grade_2,current_grade,eligible
18,Female,Urban,More than 3,4,4,2,0,Yes,No,No,No,No,6,5,6,6,0
17,Female,Urban,More than 3,1,1,2,0,No,Yes,No,Yes,No,4,5,5,6,0
15,Female,Urban,3 or fewer,1,1,2,3,Yes,No,Yes,Yes,No,10,7,8,10,0
15,Female,Urban,More than 3,4,2,3,0,No,Yes,Yes,Yes,Yes,2,15,14,15,1
16,Female,Urban,More than 3,3,3,2,0,No,Yes,Yes,No,No,4,6,10,10,0
16,Male,Urban,3 or fewer,4,3,2,0,No,Yes,Yes,Yes,Yes,10,15,15,15,0
16,Male,Urban,3 or fewer,2,2,2,0,No,No,No,Yes,No,0,12,12,11,1
17,Female,Urban,More than 3,4,4,2,0,Yes,Yes,No,No,No,6,6,5,6,0
15,Male,Urban,3 or fewer,3,2,2,0,No,Yes,Yes,Yes,No,0,16,18,19,1
15,Male,Urban,More than 3,3,4,2,0,No,Yes,Yes,Yes,Yes,0,14,15,15,1
15,Female,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,No,0,10,8,9,0
15,Female,Urban,More than 3,2,1,3,0,No,Yes,No,Yes,Yes,4,10,12,12,1
15,Male,Urban,3 or fewer,4,4,1,0,No,Yes,Yes,Yes,Yes,2,14,14,14,0
15,Male,Urban,More than 3,4,3,2,0,No,Yes,Yes,Yes,No,2,10,10,11,0
15,Male,Urban,More than 3,2,2,3,0,No,Yes,No,Yes,No,0,14,16,16,1
16,Female,Urban,More than 3,4,4,1,0,No,Yes,No,Yes,No,4,14,14,14,0
16,Female,Urban,More than 3,4,4,3,0,No,Yes,Yes,Yes,Yes,6,13,14,14,0
16,Female,Urban,More than 3,3,3,2,0,Yes,Yes,No,No,Yes,4,8,10,10,1
17,Male,Urban,More than 3,3,2,1,3,No,Yes,No,Yes,Yes,16,6,5,5,0
16,Male,Urban,3 or fewer,4,3,1,0,No,No,Yes,Yes,Yes,4,8,10,10,0
15,Male,Urban,More than 3,4,3,2,0,No,No,No,Yes,No,0,13,14,15,1
15,Male,Urban,More than 3,4,4,1,0,No,Yes,Yes,Yes,No,0,12,15,15,0
16,Male,Urban,3 or fewer,4,2,2,0,No,No,No,Yes,Yes,2,15,15,16,1
16,Male,Urban,3 or fewer,2,2,2,0,No,Yes,No,Yes,Yes,0,13,13,12,1
15,Female,Rural,More than 3,2,4,3,0,Yes,Yes,Yes,Yes,Yes,2,10,9,8,0
16,Female,Urban,More than 3,2,2,1,2,No,Yes,Yes,Yes,No,14,6,9,8,0
15,Male,Urban,More than 3,2,2,1,0,No,Yes,Yes,Yes,No,2,12,12,11,0
15,Male,Urban,More than 3,4,2,1,0,No,No,Yes,Yes,No,4,15,16,15,1
16,Male,Urban,3 or fewer,3,4,2,0,Yes,Yes,No,Yes,Yes,4,11,11,11,0
16,Male,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,Yes,16,10,12,11,0
15,Male,Urban,More than 3,4,4,2,0,No,Yes,Yes,Yes,No,0,9,11,12,0
15,Male,Urban,More than 3,4,4,2,0,No,Yes,No,Yes,Yes,0,17,16,17,1
15,Male,Rural,More than 3,4,3,2,0,No,Yes,No,Yes,Yes,0,17,16,16,1
15,Male,Urban,3 or fewer,3,3,2,0,No,No,No,Yes,Yes,0,8,10,12,0
16,Male,Urban,More than 3,3,2,1,0,No,Yes,Yes,Yes,No,0,12,14,15,1
15,Female,Urban,More than 3,2,3,1,0,No,Yes,No,No,Yes,0,8,7,6,0
15,Male,Urban,3 or fewer,4,3,3,0,No,Yes,No,Yes,Yes,2,15,16,18,1
16,Male,Rural,More than 3,4,4,3,0,No,Yes,No,Yes,Yes,7,15,16,15,1
15,Female,Rural,More than 3,3,4,3,0,Yes,Yes,Yes,Yes,Yes,2,12,12,11,0
15,Female,Rural,More than 3,2,2,1,0,Yes,Yes,Yes,No,Yes,8,14,13,13,1
16,Female,Urban,3 or fewer,2,2,2,1,No,Yes,No,Yes,Yes,25,7,10,11,0
15,Male,Urban,3 or fewer,4,4,1,0,No,Yes,No,Yes,No,8,12,12,12,0
15,Male,Urban,More than 3,4,4,2,0,No,Yes,No,Yes,Yes,2,19,18,18,1
15,Male,Urban,More than 3,2,2,1,0,Yes,Yes,No,Yes,No,0,8,8,11,0
16,Female,Urban,3 or fewer,2,2,2,1,Yes,No,No,Yes,Yes,14,10,10,9,0
15,Female,Urban,3 or fewer,4,3,2,0,Yes,Yes,Yes,Yes,Yes,8,8,8,6,0
16,Female,Urban,3 or fewer,3,3,2,0,No,Yes,No,Yes,No,12,11,12,11,0
16,Male,Urban,More than 3,4,3,4,0,No,No,No,Yes,Yes,4,19,19,20,1
15,Male,Urban,More than 3,4,2,2,0,No,Yes,Yes,No,No,2,15,15,14,1
15,Female,Urban,More than 3,4,4,2,1,Yes,Yes,No,Yes,Yes,2,7,7,7,0
16,Female,Urban,3 or fewer,2,2,2,0,No,Yes,Yes,Yes,No,2,12,13,13,0
15,Female,Urban,3 or fewer,4,2,2,0,No,Yes,Yes,Yes,No,2,11,13,13,0
15,Male,Urban,3 or fewer,4,2,1,1,No,No,No,No,No,6,11,11,10,0
15,Female,Urban,More than 3,4,4,1,0,Yes,Yes,Yes,Yes,No,0,8,10,11,0
15,Female,Urban,3 or fewer,3,3,1,0,No,No,Yes,Yes,No,6,10,13,13,0
16,Female,Urban,More than 3,2,1,2,0,No,No,Yes,Yes,Yes,8,8,9,10,0
